Name;Symbol
AASEN SPAREBANK;AASB
AURSKOG SPAREBANK;AURG
BIEN SPAREBANK;BIEN
DNB BANK;DNB
HØLAND OG SETSKOG;HSPG
INSTABANK;INSTA
JÆREN SPAREBANK;JAREN
KOMPLETT BANK;KOMP
KRAFT BANK;KRAB
LEA BANK;LEA
MELHUS SPAREBANK;MELG
NIDAROS SPAREBANK;NISB
PARETO BANK;PARB
ROMSDAL SPAREBANK;ROMSB
SANDNES SPAREBANK;SADG
SKUE SPAREBANK;SKUE
SOGN SPAREBANK;SOGN
SPARBNK 68 GR NORD;SB68
SPAREBANK 1 SMN;MING
SPAREBANK 1 SR-BK;SRBNK
SPAREBANK 1 SØRØ;SOON
SPAREBANKEN MØRE;MORG
SPAREBANKEN SØR;SOR
SPAREBANKEN VEST;SVEG
SPAREBANKEN ØST;SPOG
SPBK 1 NORDMØRE;SNOR
SPBK 1 ØSTLANDET;SPOL
SPBK1 HELGELAND;HELG
SPBK1 NORD-NORGE;NONG
SPBK1 RINGERIKE;RING
SPBK1 ØSTFOLD AKE;SOAG
TOTENS SPAREBANK;TOTG
VOSS VEKSEL OGLAND;VVL
