Name;Symbol
AKER BIOMARINE;AKBM
ANDFJORD SALMON;ANDF
AQUA BIO TECHNO;ABT
ARCTIC BIOSCIENCE;ABS
ARCTIC FISH HOLDIN;AFISH
ATLANTIC SAPPHIRE;ASA
AUSTEVOLL SEAFOOD;AUSS
BAKKAFROST;BAKKA
BARRAMUNDI GROUP;BARRA
BIOFISH HOLDING;BFISH
CLEAN SEAS SEAFOOD;CSS
GIGANTE SALMON;GIGA
GRIEG SEAFOOD;GSF
HOFSETH BIOCARE;HBC
ICE FISH FARM;IFISH
ICELANDIC SALMON;ISLAX
LERØY SEAFOOD GP;LSG
MOWI;MOWI
MÅSØVAL;MAS
NORCOD;NCOD
NORDIC AQUA PART;NOAP
NORDIC HALIBUT;NOHAL
ORKLA;ORK
PROXIMAR SEAFOOD;PROXI
SALMAR;SALM
SALMON EVOLUTION;SALME
SALMONES CAMANCHAC;SACAM
STATT TORSK;STATT
THE KINGFISH COMP;KING
