Name;Symbol
AASEN SPAREBANK;AASB
ABG SUNDAL COLLIER;ABG
AEGA;AEGA
AKER;AKER
ARENDALS FOSSEKOMP;AFK
AURSKOG SPAREBANK;AURG
AXACTOR;ACR
B2HOLDING;B2H
BIEN SPAREBANK;BIEN
DNB BANK;DNB
EAM SOLAR;EAM
GJENSIDIGE FORSIKR;GJF
HØLAND OG SETSKOG;HSPG
INSTABANK;INSTA
JÆREN SPAREBANK;JAREN
KOMPLETT BANK;KOMP
KRAFT BANK;KRAB
LEA BANK;LEA
MELHUS SPAREBANK;MELG
NIDAROS SPAREBANK;NISB
NORWEGIAN BLOCK EX;NBX
PARETO BANK;PARB
PROTECTOR FORSIKRG;PROT
ROMSDAL SPAREBANK;ROMSB
SANDNES SPAREBANK;SADG
SKUE SPAREBANK;SKUE
SOGN SPAREBANK;SOGN
SPARBNK 68 GR NORD;SB68
SPAREBANK 1 SMN;MING
SPAREBANK 1 SR-BK;SRBNK
SPAREBANK 1 SØRØ;SOON
SPAREBANKEN MØRE;MORG
SPAREBANKEN SØR;SOR
SPAREBANKEN VEST;SVEG
SPAREBANKEN ØST;SPOG
SPBK 1 NORDMØRE;SNOR
SPBK 1 ØSTLANDET;SPOL
SPBK1 HELGELAND;HELG
SPBK1 NORD-NORGE;NONG
SPBK1 RINGERIKE;RING
SPBK1 ØSTFOLD AKE;SOAG
STOREBRAND;STB
TOTENS SPAREBANK;TOTG
TREASURE;TRE
VOSS VEKSEL OGLAND;VVL
