Name;Symbol
2020 BULKERS;2020
5TH PLANET GAMES;5PG
AASEN SPAREBANK;AASB
ABG SUNDAL COLLIER;ABG
ABL GROUP;ABL
ADEVINTA;ADE
ADS MARITIME HOLD;ADS
AEGA;AEGA
AF GRUPPEN;AFG
AGILYX;AGLX
AIRTHINGS;AIRX
AKASTOR;AKAST
AKER;AKER
AKER BIOMARINE;AKBM
AKER BP;AKRBP
AKER CARBON CAPTUR;ACC
AKER HORIZONS;AKH
AKER SOLUTIONS;AKSO
AKOBO MINERALS;AKOBO
AKVA GROUP;AKVA
ALTERNUS ENERGY GR;ALT
AMSC;AMSC
ANDFJORD SALMON;ANDF
AQUA BIO TECHNO;ABT
ARCHER;ARCH
ARCTIC BIOSCIENCE;ABS
ARCTIC FISH HOLDIN;AFISH
ARCTICZYMES TECHNO;AZT
ARENDALS FOSSEKOMP;AFK
ARGEO;ARGEO
ARRIBATEC GROUP;ARR
ASETEK;ASTK
ASTROCAST;ASTRO
ATEA;ATEA
ATLANTIC SAPPHIRE;ASA
AURORA EIENDOM;AURA
AURSKOG SPAREBANK;AURG
AUSTEVOLL SEAFOOD;AUSS
AUTOSTORE HOLDINGS;AUTO
AVANCE GAS HOLDING;AGAS
AWILCO DRILLING;AWDR
AWILCO LNG;ALNG
AXACTOR;ACR
AYFIE GROUP;AYFIE
B2HOLDING;B2H
BAKKAFROST;BAKKA
BALTIC SEA PROP;BALT
BARRAMUNDI GROUP;BARRA
BELSHIPS;BELCO
BENCHMARK HOLDINGS;BMK
BERGEN CARBON SOL;BCS
BERGENBIO;BGBIO
BEWI;BEWI
BIEN SPAREBANK;BIEN
BIOFISH HOLDING;BFISH
BLACK SEA PROPERTY;BSP
BONHEUR;BONHR
BORGESTAD;BOR
BORR DRILLING;BORR
BORREGAARD;BRG
BOUVET;BOUV
BW ENERGY LIMITED;BWE
BW Epic Kosan;BWEK
BW IDEOL;BWIDL
BW LPG;BWLPG
BW OFFSHORE LTD;BWO
BYGGMA;BMA
CADELER;CADLR
CAMBI;CAMBI
CANOPY HOLDINGS;CAN
CARASENT;CARA
CARBON TRANSITION;CARBN
CIRCA GROUP;CIRCA
CLEAN SEAS SEAFOOD;CSS
CLOUDBERRY CLEAN;CLOUD
CO2 CAPSOL;CAPSL
CONTEXTVISION;CONTX
COOL COMPANY;COOL
CRAYON GROUP HOLD;CRAYN
