Name;Symbol
ASETEK;ASTK
ATEA;ATEA
BOUVET;BOUV
CONTEXTVISION;CONTX
CRAYON GROUP HOLD;CRAYN
DLTX;DLTX
ELLIPTIC LABORATOR;ELABS
HARMONYCHAIN;HMONY
HUDDLESTOCK FINTEC;HUDL
INDUCT;INDCT
ITERA;ITERA
KAHOOT!;KAHOT
LINK MOBILITY GRP;LINK
MINTRA HOLDING;MNTR
NEXT BIOMETRICS GP;NEXT
NORDIC SEMICONDUC;NOD
OTELLO CORPORATION;OTEC
PEXIP HOLDING;PEXIP
POLIGHT;PLT
QUESTBACK GROUP;QUEST
RIVER TECH;RIVER
SCHIBSTED SER. A;SCHA
SCHIBSTED SER. B;SCHB
SIKRI GROUP;SIKRI
SMARTCRAFT;SMCRT
STRONGPOINT;STRO
TECHSTEP;TECH
TIETOEVRY;TIETO
VOLUE;VOLUE
WEBSTEP;WSTEP
ZALARIS;ZAL
