Open;High;Low;Close;Volume;Dividends;Stock Splits
22.0;26.0;22.0;26.0;6000;0.0;0.0
27.0;28.0;26.200000762939453;28.0;11000;0.0;0.0
32.0;33.0;31.0;31.100000381469727;25000;0.0;0.0
35.0;36.0;33.0;33.0;5850;0.0;0.0
36.5;37.0;33.0;33.20000076293945;39400;0.0;0.0
36.0;36.0;36.0;36.0;500;0.0;0.0
36.0;36.0;36.0;36.0;0;0.0;0.0
38.0;38.0;38.0;38.0;1000;0.0;0.0
40.0;40.0;40.0;40.0;466;0.0;0.0
42.0;43.0;42.0;43.0;600;0.0;0.0
45.0;50.0;45.0;50.0;7505;0.0;0.0
51.5;53.0;51.5;53.0;3092;0.0;0.0
53.0;53.0;48.0;53.0;5393;0.0;0.0
53.0;53.0;53.0;53.0;25;0.0;0.0
52.5;52.5;48.0;50.0;6718;0.0;0.0
50.0;50.0;50.0;50.0;50;0.0;0.0
46.0;50.0;46.0;50.0;75;0.0;0.0
46.0;50.0;46.0;50.0;60;0.0;0.0
50.0;50.0;50.0;50.0;200;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
53.0;53.0;53.0;53.0;1000;0.0;0.0
53.0;53.0;53.0;53.0;0;0.0;0.0
45.0;53.0;45.0;53.0;5050;0.0;0.0
53.0;53.0;42.400001525878906;52.75;1095;0.0;0.0
49.900001525878906;50.0;48.0;50.0;4425;0.0;0.0
48.0;48.0;45.70000076293945;45.70000076293945;1411;0.0;0.0
47.0;47.0;47.0;47.0;100;0.0;0.0
47.0;47.0;47.0;47.0;186;0.0;0.0
47.0;47.0;44.400001525878906;44.400001525878906;2763;0.0;0.0
44.400001525878906;45.0;42.0;43.0;27533;0.0;0.0
43.0;43.0;41.5;43.0;2150;0.0;0.0
43.0;43.0;40.0;40.0;12449;0.0;0.0
40.0;40.0;38.0;39.900001525878906;24680;0.0;0.0
41.900001525878906;42.0;41.400001525878906;41.5;3980;0.0;0.0
41.5;41.5;40.0;40.0;4681;0.0;0.0
40.0;40.0;40.0;40.0;110000;0.0;0.0
40.0;40.0;40.0;40.0;0;0.0;0.0
39.900001525878906;40.0;38.20000076293945;40.0;23545;0.0;0.0
40.0;40.0;40.0;40.0;3200;0.0;0.0
41.0;42.0;41.0;42.0;5500;0.0;0.0
42.0;48.0;41.0;48.0;3588;0.0;0.0
48.0;48.0;46.0;46.0;1615;0.0;0.0
46.0;46.0;46.0;46.0;0;0.0;0.0
48.0;48.0;48.0;48.0;8;0.0;0.0
48.0;48.0;48.0;48.0;40;0.0;0.0
48.0;48.0;48.0;48.0;0;0.0;0.0
45.0;45.0;43.0;43.0;4500;0.0;0.0
42.099998474121094;42.099998474121094;41.0;42.0;7481;0.0;0.0
43.900001525878906;46.0;41.29999923706055;44.0;2681;0.0;0.0
45.900001525878906;47.900001525878906;45.900001525878906;47.79999923706055;651;0.0;0.0
47.900001525878906;47.900001525878906;40.0;47.900001525878906;28550;0.0;0.0
44.20000076293945;45.900001525878906;43.0;45.900001525878906;4350;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;1543;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;0;0.0;0.0
47.0;47.0;47.0;47.0;447;0.0;0.0
48.0;48.0;45.0;48.0;27392;0.0;0.0
49.0;50.0;48.400001525878906;48.400001525878906;15982;0.0;0.0
51.0;51.0;50.0;50.0;3000;0.0;0.0
50.0;50.0;48.0;49.5;1715;0.0;0.0
50.0;50.0;50.0;50.0;158599;0.0;0.0
50.0;50.0;49.0;49.79999923706055;70057;0.0;0.0
50.0;50.0;49.0;49.0;17642;0.0;0.0
49.0;51.0;48.0;51.0;101340;0.0;0.0
52.0;52.0;52.0;52.0;2226;0.0;0.0
52.0;52.0;52.0;52.0;4516;0.0;0.0
50.0;50.0;50.0;50.0;15000;0.0;0.0
49.0;50.0;47.0;50.0;104000;0.0;0.0
48.0;50.0;48.0;50.0;2735;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
51.0;51.0;51.0;51.0;938;0.0;0.0
51.0;51.0;51.0;51.0;600;0.0;0.0
49.0;51.0;49.0;51.0;2680;0.0;0.0
47.5;50.0;47.0;50.0;1485;0.0;0.0
49.0;49.0;49.0;49.0;163;0.0;0.0
49.0;49.0;49.0;49.0;3000;0.0;0.0
50.0;50.0;50.0;50.0;2000;0.0;0.0
50.0;50.0;47.5;50.0;1050;0.0;0.0
47.5;49.0;46.0;49.0;6000;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
46.0;46.0;46.0;46.0;300;0.0;0.0
47.0;49.0;47.0;49.0;1100;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;5;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;20;0.0;0.0
49.0;49.0;49.0;49.0;100;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;20;0.0;0.0
47.099998474121094;47.099998474121094;47.099998474121094;47.099998474121094;120;0.0;0.0
46.0;49.0;46.0;49.0;55;0.0;0.0
46.0;46.0;46.0;46.0;2345;0.0;0.0
46.0;46.0;46.0;46.0;0;0.0;0.0
42.0;44.0;42.0;42.5;2600;0.0;0.0
45.900001525878906;46.0;45.900001525878906;46.0;2843;0.0;0.0
44.0;44.0;44.0;44.0;1000;0.0;0.0
43.099998474121094;43.099998474121094;43.099998474121094;43.099998474121094;500;0.0;0.0
43.099998474121094;43.099998474121094;43.099998474121094;43.099998474121094;0;0.0;0.0
45.900001525878906;45.900001525878906;45.0;45.900001525878906;913;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;270;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;0;0.0;0.0
47.0;47.0;47.0;47.0;250;0.0;0.0
47.0;47.0;47.0;47.0;0;0.0;0.0
47.0;47.0;47.0;47.0;0;0.0;0.0
44.099998474121094;46.900001525878906;44.099998474121094;46.900001525878906;70;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;0;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;1200;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;0;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;0;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;0;0.0;0.0
46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;0;0.0;0.0
47.0;47.0;43.0;47.0;643;0.0;0.0
47.0;47.0;47.0;47.0;0;0.0;0.0
47.0;47.0;47.0;47.0;0;0.0;0.0
46.0;46.0;46.0;46.0;100;0.0;0.0
46.0;46.0;46.0;46.0;0;0.0;0.0
46.0;46.5;45.0;45.0;1840;0.0;0.0
46.5;46.5;46.5;46.5;215;0.0;0.0
45.0;45.0;45.0;45.0;6750;0.0;0.0
43.5;45.0;43.0;45.0;2150;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;100;0.0;0.0
45.0;45.0;45.0;45.0;500;0.0;0.0
42.0;42.0;42.0;42.0;552;0.0;0.0
43.5;45.0;43.0;45.0;1400;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
45.0;45.0;45.0;45.0;0;0.0;0.0
43.0;43.0;43.0;43.0;110;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;400;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;260;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;0;0.0;0.0
45.900001525878906;45.900001525878906;45.900001525878906;45.900001525878906;0;0.0;0.0
45.900001525878906;50.0;45.900001525878906;50.0;763;0.0;0.0
46.70000076293945;51.0;46.70000076293945;51.0;54;0.0;0.0
50.0;50.0;50.0;50.0;400;0.0;0.0
50.0;50.0;50.0;50.0;85;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
49.0;49.0;48.0;48.0;109;0.0;0.0
49.0;49.0;49.0;49.0;1000;0.0;0.0
49.0;49.0;47.5;49.0;642;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.0;49.0;49.0;49.0;0;0.0;0.0
49.5;50.0;49.5;50.0;9350;0.0;0.0
47.5;50.0;47.5;50.0;1500;0.0;0.0
50.0;50.0;50.0;50.0;0;0.0;0.0
