Open;High;Low;Close;Volume;Dividends;Stock Splits
62.0;62.0;60.0;60.0;102470;0.0;0.0
60.0;60.0;60.0;60.0;2250;0.0;0.0
60.0;61.0;60.0;61.0;30573;0.0;0.0
61.5;63.0;61.5;62.0;30443;0.0;0.0
62.5;68.0;62.5;66.5;58744;0.0;0.0
66.25;66.25;64.0;65.0;36175;0.0;0.0
64.75;65.0;64.75;65.0;646;0.0;0.0
65.0;65.0;64.0;65.0;13434;0.0;0.0
65.0;65.0;64.0;65.0;7501;0.0;0.0
65.0;65.0;64.75;65.0;55466;0.0;0.0
65.0;65.0;64.0;64.0;92548;0.0;0.0
65.0;66.5;64.0;64.75;755095;0.0;0.0
66.0;66.0;64.0;64.0;299098;0.0;0.0
64.5;65.0;64.25;64.75;194041;0.0;0.0
64.75;64.75;63.0;64.0;143578;0.0;0.0
64.0;65.0;64.0;65.0;17321;0.0;0.0
65.5;65.5;63.5;64.0;127840;0.0;0.0
64.0;64.0;64.0;64.0;3855;0.0;0.0
64.75;64.75;62.5;64.0;37254;0.0;0.0
64.0;64.0;63.5;64.0;21627;0.0;0.0
64.0;64.0;63.0;63.25;1322;0.0;0.0
63.0;64.0;63.0;64.0;260;0.0;0.0
64.25;64.25;63.5;63.5;48294;0.0;0.0
63.5;63.5;63.5;63.5;16379;0.0;0.0
64.5;64.5;63.25;63.5;26281;0.0;0.0
63.0;63.5;62.25;63.0;15739;0.0;0.0
64.0;64.0;63.0;63.0;10080;0.0;0.0
64.0;64.0;62.5;64.0;30828;0.0;0.0
64.0;64.0;62.75;64.0;7668;0.0;0.0
64.0;64.0;62.75;64.0;40695;0.0;0.0
63.0;63.0;62.75;62.75;22086;0.0;0.0
62.75;63.0;62.0;62.75;45906;0.0;0.0
61.75;61.75;60.0;61.0;74403;0.0;0.0
61.0;62.5;60.25;60.5;71570;0.0;0.0
57.0;60.5;57.0;58.75;62487;0.0;0.0
58.0;59.5;57.75;58.75;77465;0.0;0.0
60.5;62.0;59.5;62.0;15537;0.0;0.0
62.0;62.0;60.0;60.0;8533;0.0;0.0
62.0;62.75;60.0;61.5;25014;0.0;0.0
61.25;61.25;59.5;60.0;7694;0.0;0.0
62.0;62.0;59.5;60.0;68238;0.0;0.0
60.0;61.5;59.75;60.0;24479;0.0;0.0
60.0;62.75;60.0;62.5;46377;0.0;0.0
65.75;68.0;63.0;63.5;44813;0.0;0.0
66.5;66.5;62.0;63.5;133745;0.0;0.0
63.5;66.0;63.5;64.0;10508;0.0;0.0
63.0;64.0;63.0;64.0;39696;0.0;0.0
65.0;65.0;63.0;64.0;28600;0.0;0.0
64.5;66.0;64.5;66.0;45623;0.0;0.0
66.0;67.0;66.0;66.0;56612;0.0;0.0
67.0;67.4000015258789;66.19999694824219;66.80000305175781;123231;0.0;0.0
66.9000015258789;67.19999694824219;66.0;66.69999694824219;37695;0.0;0.0
67.37999725341797;67.37999725341797;66.0;66.69999694824219;3668;0.0;0.0
66.9000015258789;67.19999694824219;65.0999984741211;67.0;17223;0.0;0.0
67.0;67.0;66.0;67.0;12229;0.0;0.0
65.0;66.25;64.11000061035156;64.91000366210938;13622;0.0;0.0
64.0;65.80000305175781;64.0;64.69999694824219;15390;0.0;0.0
65.0;66.0;64.5;64.5;13021;0.0;0.0
64.0;65.5;63.619998931884766;65.5;27300;0.0;0.0
65.5;66.0;64.0;66.0;5322;0.0;0.0
66.0;66.0;63.79999923706055;66.0;20693;0.0;0.0
66.0;67.0;65.0;67.0;50303;0.0;0.0
63.0;65.4000015258789;63.0;65.19999694824219;29925;0.0;0.0
65.5999984741211;65.5999984741211;64.19999694824219;64.19999694824219;35600;0.0;0.0
66.0;66.0;64.0;64.0;38032;0.0;0.0
64.5999984741211;66.4000015258789;64.0;64.19999694824219;88580;0.0;0.0
64.80000305175781;69.0;64.19999694824219;65.0;172515;0.0;0.0
65.19999694824219;66.80000305175781;65.0;65.4000015258789;131383;0.0;0.0
66.0;66.80000305175781;65.0;65.0;93537;0.0;0.0
64.80000305175781;67.0;64.0;65.80000305175781;118450;0.0;0.0
62.79999923706055;64.4000015258789;62.599998474121094;63.79999923706055;141546;0.0;0.0
65.0;65.5999984741211;64.4000015258789;64.5999984741211;31618;0.0;0.0
64.19999694824219;64.5999984741211;63.400001525878906;64.0;53476;0.0;0.0
61.599998474121094;63.0;61.599998474121094;63.0;67164;0.0;0.0
63.0;64.19999694824219;62.79999923706055;63.20000076293945;14513;0.0;0.0
63.79999923706055;63.79999923706055;62.0;62.0;31904;0.0;0.0
62.0;62.400001525878906;61.20000076293945;61.20000076293945;49621;0.0;0.0
63.0;63.0;61.20000076293945;61.79999923706055;55765;0.0;0.0
62.0;62.0;61.20000076293945;61.400001525878906;40851;0.0;0.0
62.0;62.0;60.20000076293945;61.79999923706055;23741;0.0;0.0
61.79999923706055;64.5999984741211;60.400001525878906;63.0;69380;0.0;0.0
63.0;63.20000076293945;62.0;62.79999923706055;7771;0.0;0.0
62.79999923706055;63.599998474121094;62.20000076293945;62.20000076293945;39868;0.0;0.0
63.400001525878906;64.5999984741211;62.599998474121094;62.79999923706055;28315;0.0;0.0
63.0;64.80000305175781;62.400001525878906;62.400001525878906;16384;0.0;0.0
62.400001525878906;63.0;61.20000076293945;62.0;30488;0.0;0.0
61.20000076293945;62.79999923706055;61.20000076293945;61.400001525878906;18895;0.0;0.0
61.599998474121094;61.599998474121094;60.0;61.0;96332;0.0;0.0
61.0;61.0;58.0;59.79999923706055;101464;0.0;0.0
59.79999923706055;61.0;59.400001525878906;60.599998474121094;19318;0.0;0.0
59.599998474121094;61.0;59.400001525878906;60.0;99525;0.0;0.0
59.400001525878906;60.20000076293945;59.400001525878906;60.20000076293945;34611;0.0;0.0
60.0;60.0;59.20000076293945;59.79999923706055;42525;0.0;0.0
59.20000076293945;61.20000076293945;59.20000076293945;61.20000076293945;23645;0.0;0.0
